2025-11-15 12:56:46 | VIOLENCE DETECTED
2025-11-15 12:56:47 | VIOLENCE DETECTED
2025-11-15 12:56:48 | VIOLENCE DETECTED
2025-11-15 12:56:50 | FIRE DETECTED
2025-11-15 12:56:50 | VIOLENCE DETECTED
2025-11-15 12:56:50 | FIRE DETECTED
2025-11-15 12:56:51 | FIRE DETECTED
2025-11-15 12:56:51 | VIOLENCE DETECTED
2025-11-15 12:56:52 | FIRE DETECTED
2025-11-15 12:56:53 | FIRE DETECTED
2025-11-15 12:56:54 | FIRE DETECTED
2025-11-15 12:56:54 | FIRE DETECTED
2025-11-15 12:56:56 | FIRE DETECTED
2025-11-15 12:56:57 | FIRE DETECTED
2025-11-15 12:57:01 | FIRE DETECTED
2025-11-15 12:57:01 | FIRE DETECTED
2025-11-15 12:57:02 | FIRE DETECTED
2025-11-15 12:57:03 | VIOLENCE DETECTED
2025-11-15 12:57:08 | ALL SAFE
2025-11-15 12:57:10 | VIOLENCE DETECTED
2025-11-15 12:57:13 | VIOLENCE DETECTED
2025-11-15 12:57:15 | VIOLENCE DETECTED
2025-11-15 12:57:17 | VIOLENCE DETECTED
2025-11-15 12:57:18 | FIRE DETECTED
2025-11-15 12:57:18 | VIOLENCE DETECTED
2025-11-15 12:57:19 | FIRE DETECTED
2025-11-15 12:57:19 | VIOLENCE DETECTED
2025-11-15 12:57:20 | VIOLENCE DETECTED
2025-11-15 12:57:21 | FIRE DETECTED
2025-11-15 12:57:21 | VIOLENCE DETECTED
2025-11-15 12:57:22 | VIOLENCE DETECTED
2025-11-15 12:57:24 | VIOLENCE DETECTED
2025-11-15 12:57:24 | FIRE DETECTED
2025-11-15 12:57:25 | VIOLENCE DETECTED
2025-11-15 12:57:26 | VIOLENCE DETECTED
2025-11-15 12:57:27 | FIRE DETECTED
2025-11-15 12:57:28 | FIRE DETECTED
2025-11-15 12:57:28 | FIRE DETECTED
2025-11-15 12:57:29 | VIOLENCE DETECTED
2025-11-15 12:57:29 | FIRE DETECTED
2025-11-15 12:57:30 | VIOLENCE DETECTED
2025-11-15 12:57:30 | FIRE DETECTED
2025-11-15 12:57:31 | FIRE DETECTED
2025-11-15 12:57:31 | VIOLENCE DETECTED
2025-11-15 12:57:32 | FIRE DETECTED
2025-11-15 12:57:32 | FIRE DETECTED
2025-11-15 12:57:32 | VIOLENCE DETECTED
2025-11-15 12:57:33 | FIRE DETECTED
2025-11-15 12:57:33 | VIOLENCE DETECTED
2025-11-15 12:57:34 | FIRE DETECTED
2025-11-15 12:57:35 | FIRE DETECTED
2025-11-15 12:57:35 | VIOLENCE DETECTED
2025-11-15 12:57:35 | FIRE DETECTED
2025-11-15 12:57:36 | FIRE DETECTED
2025-11-15 12:57:36 | VIOLENCE DETECTED
2025-11-15 12:57:37 | FIRE DETECTED
2025-11-15 12:57:37 | VIOLENCE DETECTED
2025-11-15 12:57:38 | FIRE DETECTED
2025-11-15 12:57:38 | FIRE DETECTED
2025-11-15 12:57:39 | VIOLENCE DETECTED
2025-11-15 12:57:39 | FIRE DETECTED
2025-11-15 12:57:40 | FIRE DETECTED
2025-11-15 12:57:40 | VIOLENCE DETECTED
2025-11-15 12:57:41 | FIRE DETECTED
2025-11-15 12:57:41 | VIOLENCE DETECTED
2025-11-15 12:57:41 | FIRE DETECTED
2025-11-15 12:57:42 | FIRE DETECTED
2025-11-15 12:57:42 | VIOLENCE DETECTED
2025-11-15 12:57:43 | FIRE DETECTED
2025-11-15 12:57:43 | FIRE DETECTED
2025-11-15 12:57:44 | VIOLENCE DETECTED
2025-11-15 12:57:44 | FIRE DETECTED
2025-11-15 12:57:45 | VIOLENCE DETECTED
2025-11-15 12:57:45 | FIRE DETECTED
2025-11-15 12:57:46 | FIRE DETECTED
2025-11-15 12:57:46 | VIOLENCE DETECTED
2025-11-15 12:57:47 | FIRE DETECTED
2025-11-15 12:57:47 | FIRE DETECTED
2025-11-15 12:57:48 | VIOLENCE DETECTED
2025-11-15 12:57:48 | FIRE DETECTED
2025-11-15 12:57:49 | VIOLENCE DETECTED
2025-11-15 12:57:49 | FIRE DETECTED
2025-11-15 12:57:50 | FIRE DETECTED
2025-11-15 12:57:50 | VIOLENCE DETECTED
2025-11-15 12:57:51 | FIRE DETECTED
2025-11-15 12:57:52 | FIRE DETECTED
2025-11-15 12:57:52 | VIOLENCE DETECTED
2025-11-15 12:57:53 | FIRE DETECTED
2025-11-15 12:57:53 | VIOLENCE DETECTED
2025-11-15 12:57:53 | FIRE DETECTED
2025-11-15 12:57:54 | FIRE DETECTED
2025-11-15 12:57:54 | VIOLENCE DETECTED
2025-11-15 12:57:55 | FIRE DETECTED
2025-11-15 12:57:55 | FIRE DETECTED
2025-11-15 12:57:56 | VIOLENCE DETECTED
